DATE,Ealf,Eauxf,Name,Occupancy,Qcs,Qcsf,Qhs,Qhsf,Qww,Qwwf,mcpcs,mcphs,totwater,trc,trh,trww,tsc,tsh,tsww
2010-06-05 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 07:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 08:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 09:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 10:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 11:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 12:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 13:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 14:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 15:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 16:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 17:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-05 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 07:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 08:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 09:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 10:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 11:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 12:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 13:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 14:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 15:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 16:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 17:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-06 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 07:00:00,5.96,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.37,0,0,0.07,0,0,14.00,0,0,60
2010-06-07 08:00:00,11.92,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.46,0,0,0.13,0,0,14.00,0,0,60
2010-06-07 09:00:00,23.84,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.58,0,0,0.20,0,0,14.00,0,0,60
2010-06-07 10:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.69,0,0,0.26,0,0,14.00,0,0,60
2010-06-07 11:00:00,11.92,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.66,0,0,0.26,0,0,14.00,0,0,60
2010-06-07 12:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.38,0,0,0.13,0,0,14.00,0,0,60
2010-06-07 13:00:00,11.92,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.49,0,0,0.20,0,0,14.00,0,0,60
2010-06-07 14:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.60,0,0,0.26,0,0,14.00,0,0,60
2010-06-07 15:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.60,0,0,0.26,0,0,14.00,0,0,60
2010-06-07 16:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.36,0,0,0.13,0,0,14.00,0,0,60
2010-06-07 17:00:00,3.05,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.31,0,0,0.07,0,0,14.00,0,0,60
2010-06-07 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-07 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 07:00:00,5.96,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.38,0,0,0.07,0,0,14.00,0,0,60
2010-06-08 08:00:00,11.92,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.48,0,0,0.13,0,0,14.00,0,0,60
2010-06-08 09:00:00,23.84,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.61,0,0,0.20,0,0,14.00,0,0,60
2010-06-08 10:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.75,0,0,0.26,0,0,14.00,0,0,60
2010-06-08 11:00:00,11.92,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.72,0,0,0.26,0,0,14.00,0,0,60
2010-06-08 12:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.41,0,0,0.13,0,0,14.00,0,0,60
2010-06-08 13:00:00,11.92,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.54,0,0,0.20,0,0,14.00,0,0,60
2010-06-08 14:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.68,0,0,0.26,0,0,14.00,0,0,60
2010-06-08 15:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.68,0,0,0.26,0,0,14.00,0,0,60
2010-06-08 16:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.41,0,0,0.13,0,0,14.00,0,0,60
2010-06-08 17:00:00,3.05,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.34,0,0,0.07,0,0,14.00,0,0,60
2010-06-08 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-08 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 07:00:00,5.96,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.35,0,0,0.07,0,0,14.00,0,0,60
2010-06-09 08:00:00,11.92,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.41,0,0,0.13,0,0,14.00,0,0,60
2010-06-09 09:00:00,23.84,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.54,0,0,0.20,0,0,14.00,0,0,60
2010-06-09 10:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.68,0,0,0.26,0,0,14.00,0,0,60
2010-06-09 11:00:00,11.92,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.66,0,0,0.26,0,0,14.00,0,0,60
2010-06-09 12:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.39,0,0,0.13,0,0,14.00,0,0,60
2010-06-09 13:00:00,11.92,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.52,0,0,0.20,0,0,14.00,0,0,60
2010-06-09 14:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.71,0,0,0.26,0,0,14.00,0,0,60
2010-06-09 15:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.70,0,0,0.26,0,0,14.00,0,0,60
2010-06-09 16:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.42,0,0,0.13,0,0,14.00,0,0,60
2010-06-09 17:00:00,3.05,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.34,0,0,0.07,0,0,14.00,0,0,60
2010-06-09 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-09 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 07:00:00,5.96,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.36,0,0,0.07,0,0,14.00,0,0,60
2010-06-10 08:00:00,11.92,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.44,0,0,0.13,0,0,14.00,0,0,60
2010-06-10 09:00:00,23.84,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.56,0,0,0.20,0,0,14.00,0,0,60
2010-06-10 10:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.67,0,0,0.26,0,0,14.00,0,0,60
2010-06-10 11:00:00,11.92,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.63,0,0,0.26,0,0,14.00,0,0,60
2010-06-10 12:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.36,0,0,0.13,0,0,14.00,0,0,60
2010-06-10 13:00:00,11.92,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.45,0,0,0.20,0,0,14.00,0,0,60
2010-06-10 14:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.55,0,0,0.26,0,0,14.00,0,0,60
2010-06-10 15:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.55,0,0,0.26,0,0,14.00,0,0,60
2010-06-10 16:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.34,0,0,0.13,0,0,14.00,0,0,60
2010-06-10 17:00:00,3.05,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.30,0,0,0.07,0,0,14.00,0,0,60
2010-06-10 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-10 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 07:00:00,5.96,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.34,0,0,0.07,0,0,14.00,0,0,60
2010-06-11 08:00:00,11.92,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.41,0,0,0.13,0,0,14.00,0,0,60
2010-06-11 09:00:00,23.84,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.55,0,0,0.20,0,0,14.00,0,0,60
2010-06-11 10:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.69,0,0,0.26,0,0,14.00,0,0,60
2010-06-11 11:00:00,11.92,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.68,0,0,0.26,0,0,14.00,0,0,60
2010-06-11 12:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.40,0,0,0.13,0,0,14.00,0,0,60
2010-06-11 13:00:00,11.92,0.00,Bau 03,39.00,-0.00,-0.00,0.00,0.00,3.53,6.49,0,0,0.20,0,0,14.00,0,0,60
2010-06-11 14:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.59,0,0,0.26,0,0,14.00,0,0,60
2010-06-11 15:00:00,23.84,0.01,Bau 03,52.00,-0.00,-0.00,0.00,0.00,4.71,8.56,0,0,0.26,0,0,14.00,0,0,60
2010-06-11 16:00:00,5.96,0.00,Bau 03,26.00,-0.00,-0.00,0.00,0.00,2.36,4.33,0,0,0.13,0,0,14.00,0,0,60
2010-06-11 17:00:00,3.05,0.00,Bau 03,13.00,-0.00,-0.00,0.00,0.00,1.18,2.28,0,0,0.07,0,0,14.00,0,0,60
2010-06-11 18:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 19:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 20:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 21:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 22:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-11 23:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 00:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 01:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 02:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 03:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 04:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 05:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 06:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-06-12 07:00:00,3.05,0.00,Bau 03,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
